CPT,ASA,ASA_COUNT,ASA_FREQ
11622,00300,2,1.0
11623,00300,12,0.7058823529411765
11623,00400,3,0.1764705882352941
11623,00940,2,0.1176470588235294
11623,00920,0,0.0
11624,00300,4,0.8
11624,00400,1,0.2
11624,00920,0,0.0
11624,00940,0,0.0
11626,00300,24,0.7741935483870968
11626,00400,4,0.1290322580645161
11626,00940,3,0.0967741935483871
11626,00920,0,0.0
11640,00300,48,1.0
11641,00300,35,1.0
11642,00300,36,1.0
11643,00300,26,1.0
11644,00300,7,1.0
11646,00300,21,1.0
11730,00400,8,1.0
11750,00400,25,1.0
11755,00400,2,1.0
11760,00400,2,1.0
11762,00400,0,0.0
11770,00300,233,1.0
11771,00300,53,1.0
11772,00300,53,1.0
11960,00300,1,1.0
11960,00400,0,0.0
11970,00402,3,1.0
11970,00300,0,0.0
11970,00400,0,0.0
11971,00400,11,1.0
11971,00300,0,0.0
11981,00400,4,1.0
11982,00400,1,1.0
12001,00400,15,0.8823529411764706
12001,00300,1,0.05882352941176471
12001,00920,1,0.05882352941176471
12001,00940,0,0.0
12002,00400,4,0.8
12002,00940,1,0.2
12002,00300,0,0.0
12002,00920,0,0.0
12004,00400,1,1.0
12004,00300,0,0.0
12004,00920,0,0.0
12004,00940,0,0.0
12005,00400,2,1.0
12005,00300,0,0.0
12005,00920,0,0.0
12005,00940,0,0.0
12006,00400,1,1.0
12006,00300,0,0.0
12006,00920,0,0.0
12006,00940,0,0.0
12007,00300,0,0.0
12007,00400,0,0.0
12007,00920,0,0.0
12007,00940,0,0.0
12011,00300,6,1.0
12013,00300,1,1.0
12014,00300,0,0.0
12015,00300,1,1.0
12016,00300,0,0.0
12017,00300,0,0.0
12018,00300,0,0.0
12020,00400,13,0.8666666666666667
12020,00940,2,0.1333333333333333
12020,00300,0,0.0
12020,00920,0,0.0
12021,00400,2,0.6666666666666666
12021,00300,1,0.3333333333333333
12021,00920,0,0.0
12021,00940,0,0.0
12031,00400,13,0.8125
12031,00300,3,0.1875
12032,00400,13,0.7647058823529411
12032,00300,4,0.2352941176470588
12034,00400,3,0.75
12034,00300,1,0.25
12035,00400,5,0.7142857142857143
12035,00300,2,0.2857142857142857
12036,00300,1,1.0
12036,00400,0,0.0
12037,00400,4,1.0
12037,00300,0,0.0
12041,00400,8,0.8
12041,00300,1,0.1
12041,00920,1,0.1
12041,00940,0,0.0
12042,00300,3,0.75
12042,00400,1,0.25
12042,00920,0,0.0
12042,00940,0,0.0
12044,00400,2,1.0
12044,00300,0,0.0
12044,00920,0,0.0
12044,00940,0,0.0
12045,00300,0,0.0
12045,00400,0,0.0
12045,00920,0,0.0
12045,00940,0,0.0
12046,00300,0,0.0
12046,00400,0,0.0
12046,00920,0,0.0
12046,00940,0,0.0
12047,00300,0,0.0
12047,00400,0,0.0
12047,00920,0,0.0
12047,00940,0,0.0
12051,00300,6,1.0
12052,00300,2,1.0
12053,00300,1,1.0
12054,00300,0,0.0
12055,00300,0,0.0
12056,00300,0,0.0
12057,00300,0,0.0
13100,00400,10,0.7142857142857143
13100,00300,4,0.2857142857142857
13101,00400,9,0.9
13101,00300,1,0.1
13120,00400,9,0.6923076923076923
13120,00300,4,0.3076923076923077
13121,00400,22,0.8461538461538461
13121,00300,4,0.1538461538461539
13131,00400,12,0.6666666666666666
13131,00300,4,0.2222222222222222
13131,00940,2,0.1111111111111111
13131,00920,0,0.0
13132,00400,10,0.7692307692307693
13132,00300,3,0.2307692307692308
13132,00920,0,0.0
13132,00940,0,0.0
13151,00300,4,1.0
13152,00300,6,1.0
13160,00400,76,0.8636363636363636
13160,00300,11,0.125
13160,00940,1,0.01136363636363636
13160,00920,0,0.0
14000,00400,2,0.6666666666666666
14000,00300,1,0.3333333333333333
14001,00400,3,1.0
14001,00300,0,0.0
14020,00400,10,0.5882352941176471
14020,00300,7,0.4117647058823529
14021,00300,4,0.6666666666666666
14021,00400,2,0.3333333333333333
14040,00300,22,0.5
14040,00400,21,0.4772727272727273
14040,00920,1,0.02272727272727273
14040,00940,0,0.0
14041,00300,10,1.0
14041,00400,0,0.0
14041,00920,0,0.0
14041,00940,0,0.0
14060,00300,54,1.0
14061,00300,19,1.0
14301,00300,5,0.7142857142857143
14301,00400,2,0.2857142857142857
14301,00920,0,0.0
14301,00940,0,0.0
14350,00400,0,0.0
15002,+01953,0,0.0
15002,00300,0,0.0
15002,00400,0,0.0
15002,01951,0,0.0
15002,01952,0,0.0
15004,+01953,0,0.0
15004,00300,0,0.0
15004,00400,0,0.0
15004,00920,0,0.0
15004,00940,0,0.0
15004,01951,0,0.0
15004,01952,0,0.0
15040,00300,0,0.0
15040,00400,0,0.0
15050,00300,0,0.0
15050,00400,0,0.0
15050,00920,0,0.0
15050,00940,0,0.0
15100,00400,74,0.961038961038961
15100,00300,3,0.03896103896103896
15110,00300,0,0.0
15110,00400,0,0.0
15115,00300,0,0.0
15115,00400,0,0.0
15115,00920,0,0.0
15115,00940,0,0.0
15120,00400,24,0.6857142857142857
15120,00300,10,0.2857142857142857
15120,00920,1,0.02857142857142857
15120,00940,0,0.0
15130,00300,0,0.0
15130,00400,0,0.0
15135,00300,0,0.0
15135,00400,0,0.0
15135,00920,0,0.0
15135,00940,0,0.0
15150,00400,1,1.0
15150,00300,0,0.0
15155,00300,0,0.0
15155,00400,0,0.0
15155,00920,0,0.0
15155,00940,0,0.0
15200,00400,2,1.0
15200,00300,0,0.0
15220,00400,8,0.8
15220,00300,2,0.2
15240,00400,6,0.6
15240,00300,4,0.4
15240,00920,0,0.0
15240,00940,0,0.0
15260,00300,6,1.0
15271,00400,10,0.9090909090909091
15271,00300,1,0.09090909090909091
15273,00400,2,1.0
15273,00300,0,0.0
15275,00400,60,0.9375
15275,00300,4,0.0625
15275,00920,0,0.0
15275,00940,0,0.0
15277,00400,2,1.0
15277,00300,0,0.0
15277,00920,0,0.0
15277,00940,0,0.0
15570,00300,0,0.0
15570,00400,0,0.0
15572,00300,0,0.0
15572,00400,0,0.0
15574,00300,0,0.0
15574,00400,0,0.0
15574,00920,0,0.0
15574,00940,0,0.0
15576,00300,1,1.0
15600,00300,1,0.5
15600,00400,1,0.5
15610,00300,0,0.0
15610,00400,0,0.0
15620,00400,1,1.0
15620,00300,0,0.0
15620,00920,0,0.0
15620,00940,0,0.0
15630,00300,8,1.0
15650,00300,0,0.0
15650,00400,0,0.0
15650,00920,0,0.0
15650,00940,0,0.0
15730,00300,1,1.0
15731,00300,1,1.0
